"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"29820","Las Vegas-Paradise, NV","366","151","203","12",".",".","125","85","54",".","28","193",".","129","16"
"29860","Laurel, MS","121","58","63",".",".",".","85","69","51",".",".",".",".","121","."
"29980","Lawrenceburg, TN","57","32","25",".",".",".","96","64","47",".",".",".",".","57","."
"30020","Lawton, OK","364","321","42","1",".",".","111","52","36",".",".","333",".","31","."
"30100","Lebanon, NH-VT","226","212","13","1",".",".","104","47","31",".",".","170",".","56","."
"30300","Lewiston, ID-WA","366","292","74",".",".",".","91","62","30",".",".",".",".","366","."
"30340","Lewiston-Auburn, ME","242","218","22","2",".",".","137","50","35",".",".","158",".","84","."
"30420","Lexington, NE","58","56","2",".",".",".","58","44","23.5",".",".",".",".",".","58"
"30460","Lexington-Fayette, KY","366","221","143","2",".",".","106","70","47",".","24","124","34","184","."
"30620","Lima, OH","366","341","25",".",".",".","90","47","28",".",".","212","129",".","25"
"30700","Lincoln, NE","366","345","21",".",".",".","80","42","25","105",".","177",".","84","."
"30740","Lincolnton, NC","215","160","46","8","1",".","154","77","42",".",".","215",".",".","."
"30780","Little Rock-North Little Rock-Conway, AR","366","174","190","2",".",".","122","70","52",".","1","67",".","298","."
"30860","Logan, UT-ID","366","191","162","9","4",".","161","77","49",".","9","110",".","247","."
"30980","Longview, TX","366","327","35","4",".",".","116","51","32.5",".","9","330","27",".","."
"31020","Longview, WA","361","335","26",".",".",".","73","46","18",".",".",".",".","361","."
"31060","Los Alamos, NM","115","115",".",".",".",".","40","24","12",".",".",".",".","115","."
"31100","Los Angeles-Long Beach-Santa Ana, CA","366","27","232","74","29","4","207","150","80",".","55","125",".","183","3"
"31140","Louisville/Jefferson County, KY-IN","366","88","216","57","5",".","179","110","62",".","6","49","117","194","."
"31180","Lubbock, TX","81","73","8",".",".",".","62","50","26",".",".",".",".","81","."
"31300","Lumberton, NC","116","68","48",".",".",".","75","65","44.5",".",".",".",".","116","."
"31340","Lynchburg, VA","118","85","33",".",".",".","81","62","38",".",".",".",".","118","."
"31420","Macon, GA","366","159","199","8",".",".","127","77","53",".",".","58","10","298","."
"31460","Madera, CA","353","252","77","22","2",".","179","93","42",".","40","313",".",".","."
"31540","Madison, WI","359","218","138","3",".",".","127","71","45",".",".","139",".","217","3"
"31660","Malone, NY","366","346","18","2",".",".","106","43","24",".",".","253","61",".","52"
"31700","Manchester-Nashua, NH","366","296","64","6",".",".","129","65","38","3","105","154","36","68","."
"31820","Manitowoc, WI","241","193","47","1",".",".","118","59","36",".",".","158",".","83","."
"32140","Marshall, MN","358","257","101",".",".",".","99","64","42",".",".","108",".","250","."
"32220","Marshall, TX","366","255","111",".",".",".","93","60","40",".","2","140",".","224","."
"32380","Mason City, IA","366","324","42",".",".",".","75","53","26",".",".",".",".",".","366"
"32540","McAlester, OK","366","325","41",".",".",".","80","53","35.5",".",".","323",".","43","."
"32580","McAllen-Edinburg-Mission, TX","364","225","138","1",".",".","101","67","45",".",".","88",".","274","2"
"32780","Medford, OR","366","241","117","8",".",".","143","76","41","1",".","113",".","252","."
"32820","Memphis, TN-MS-AR","366","147","208","10","1",".","164","81","54",".","13","71","1","281","."
"32900","Merced, CA","366","214","111","32","8","1","203","104","47",".","35","283",".","43","5"
"32940","Meridian, MS","362","216","146",".",".",".","95","66","45",".",".","43",".","319","."
"33060","Miami, OK","366","265","101",".",".",".","80","61","42",".",".","130",".","228","8"
"33100","Miami-Fort Lauderdale-Pompano Beach, FL","366","235","125","5","1",".","155","63","45",".","3","56","1","304","2"
"33140","Michigan City-La Porte, IN","366","311","55",".",".",".","87","57","31",".",".","154","125","87","."
"33180","Middlesborough, KY","265","198","64","3",".",".","106","68","45",".",".","222",".","43","."
"33340","Milwaukee-Waukesha-West Allis, WI","366","260","101","4","1",".","156","75","40",".","63","177",".","122","4"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","366","194","168","4",".",".","137","74","49","1","4","78","10","266","7"
"33540","Missoula, MT","352","299","52","1",".",".","104","57","22","46",".",".",".","140","166"
"33660","Mobile, AL","358","299","55","4",".",".","124","59","34",".",".","167",".","91","100"
"33700","Modesto, CA","366","126","177","52","9","2","206","122","60",".","2","161",".","201","2"
"33740","Monroe, LA","364","338","26",".",".",".","72","47","30",".",".","270","1","93","."
"33780","Monroe, MI","117","74","43",".",".",".","99","72","45",".",".",".",".","117","."
"33860","Montgomery, AL","349","192","154","3",".",".","104","68","48",".",".","71",".","277","1"
"34060","Morgantown, WV","366","255","91","19","1",".","162","80","37.5",".",".","125","157","84","."
"34100","Morristown, TN","246","182","61","3",".",".","140","77","44",".",".","246",".",".","."
"34140","Moscow, ID","340","331","9",".",".",".","68","33.5","14",".",".",".",".","340","."
"34180","Moses Lake, WA","365","327","38",".",".",".","74","51","25",".",".",".",".","365","."
"34500","Mount Vernon, IL","245","208","36","1",".",".","109","58","38",".",".","199",".","46","."
"34540","Mount Vernon, OH","215","179","35","1",".",".","104","64","40",".",".","215",".",".","."
"34580","Mount Vernon-Anacortes, WA","366","350","6","9","1",".","153","40","26",".","14","180","1","171","."
"34620","Muncie, IN","235","182","53",".",".",".","89","60","41",".",".","145",".","90","."
"34700","Muscatine, IA","361","200","125","30","6",".","190","97","46",".",".",".","74","278","9"
"34740","Muskegon-Norton Shores, MI","348","244","104",".",".",".","100","67","32",".",".",".",".","348","."
"34780","Muskogee, OK","366","295","69","2",".",".","107","62","28",".",".",".","67","93","206"
"34900","Napa, CA","366","203","154","9",".",".","121","71","48",".","7","63",".","296","."
"34940","Naples-Marco Island, FL","360","307","53",".",".",".","100","55.5","36",".",".","153",".","207","."
"34980","Nashville-Davidson-Murfreesboro-Franklin, TN","366","170","185","11",".",".","137","77","52.5",".","13","97",".","256","."
"35020","Natchez, MS-LA","278","227","51",".",".",".","82","57","37.5",".",".","177",".","101","."
"35220","New Castle, IN","116","71","45",".",".",".","86","67","44",".",".",".",".","116","."
"35260","New Castle, PA","366","294","70","2",".",".","119","61","36.5",".","70","148","75",".","73"
"35300","New Haven-Milford, CT","366","218","134","13","1",".","174","80","44",".","40","110","6","210","."
